portfolio_size,rebalance_day,exit_buffer,long_term_period_days,short_term_period_days,initial_capital,use_threshold_rebalancing,final_value,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,transaction_costs,win_ratio_pct,days_to_recovery
3,5,3.0,220,30,100000,True,166024.72165024985,66.02472165024984,11.087746303161294,0.6703215987022774,-23.774941450488996,200,1653.9474825469456,90.43478260869566,801
3,5,3.0,220,30,100000,False,206503.21423939173,106.50321423939175,16.230243575839975,1.1010864542890402,-17.363636056712195,171,1451.0549486998614,89.69072164948454,560
3,5,3.0,220,60,100000,False,214571.9558610734,114.57195586107338,17.15794193757447,1.1789464984008404,-17.222078487220294,171,1559.767351322137,86.73469387755102,557
3,5,3.0,220,60,100000,True,186839.32778771987,86.83932778771988,13.842753626463654,0.8681503330479726,-20.892608242042463,198,1805.2419861687492,86.36363636363636,665
5,5,1.0,180,20,100000,False,221499.2654818229,121.4992654818229,17.932596631822562,1.1917620050836089,-14.515057348304817,287,2590.2464391268404,80.89171974522293,309
5,5,1.0,180,30,100000,False,211068.6133966135,111.06861339661349,16.758603812875084,1.1146691195812852,-14.515050640095383,291,2501.7662490866587,79.87421383647799,533
5,5,1.0,180,20,100000,True,206548.03424536018,106.54803424536018,16.235475455656044,1.0913295068088926,-16.594568140639364,336,3187.514472829285,80.10471204188482,717
5,5,1.0,180,30,100000,True,190025.35865836544,90.02535865836543,14.242701043179974,0.9292852584636588,-15.469468793146513,351,3294.1017233582693,77.31958762886599,667
5,5,1.0,180,60,100000,True,198082.43034795136,98.08243034795137,15.230908670788201,1.022502185782821,-15.594963210805323,328,2950.7369067325653,78.88888888888889,544
5,5,1.0,180,60,100000,False,215828.11395118773,115.82811395118773,17.299870146843645,1.1544097051214934,-14.514912050414598,285,2327.768120571506,81.29032258064515,533
5,5,1.0,200,20,100000,False,221749.37486595864,121.74937486595864,17.96020420133997,1.1853908991405324,-16.619275702519985,279,2335.7631154283135,82.23684210526315,560
5,5,1.0,200,20,100000,True,213028.71729127885,113.02871729127885,16.982673337767128,1.128357751508392,-17.552207640110307,324,2797.462108279572,80.55555555555556,599
5,5,1.0,200,30,100000,False,219062.43946175906,119.06243946175907,17.662313594912547,1.1553235319684338,-16.736591236424935,284,2393.6204086968964,83.33333333333334,595
5,5,1.0,200,30,100000,True,183845.00732336548,83.84500732336548,13.46191384500941,0.8249678238328004,-18.29894840613887,348,3272.333931987962,80.51282051282051,686
5,5,1.0,200,60,100000,False,217790.7509566411,117.7907509566411,17.520315500091034,1.1734357048132016,-16.722061017639934,282,2383.718432438398,81.64556962025317,583
5,5,1.0,200,60,100000,True,203752.23442495466,103.75223442495466,15.907382504993372,1.0552963587464128,-16.06654722809776,323,2876.422883038235,75.54347826086956,650
5,5,1.0,220,20,100000,False,219080.13550703094,119.08013550703092,17.664284939980867,1.1641200161250693,-16.614074304321136,289,2677.7316983596475,77.12418300653596,548
5,5,1.0,220,20,100000,True,212319.87007662156,112.31987007662157,16.901830724368594,1.1328300316402016,-15.95054460018417,324,3060.6794885200507,79.06976744186046,557
5,5,1.0,220,30,100000,True,185463.24154053326,85.46324154053326,13.668338174796823,0.8847309095298793,-17.552768757755675,340,2965.995461261445,75.97765363128491,596
5,5,1.0,220,30,100000,False,219103.65209959872,119.10365209959872,17.666904500575555,1.1543425343241807,-16.61910527041639,289,2608.7281290495744,76.82119205298014,548
5,5,1.0,220,60,100000,False,217717.4670664718,117.7174670664718,17.512112535812484,1.1349514093793893,-16.61910527040279,284,2415.645277871182,77.7027027027027,560
5,5,1.0,220,60,100000,True,195365.63508268472,95.36563508268472,14.901310799847023,0.9730368481314651,-17.55203385792171,330,2789.554354597661,77.58620689655173,602
5,5,1.5,180,20,100000,False,220734.39247702496,120.73439247702495,17.848014833844395,1.1597406655722247,-17.52046406480425,270,2141.772143557596,87.94326241134752,595
5,5,1.5,180,20,100000,True,191010.58044571086,91.01058044571087,14.365301274821096,0.8765219116516298,-24.26997059910766,320,2570.687041574493,85.29411764705883,732
5,5,1.5,180,30,100000,False,220138.77305227297,120.13877305227298,17.781988543365923,1.1549330756820038,-17.545125682755447,272,2174.973216862493,87.67123287671232,595
5,5,1.5,180,30,100000,True,190335.3798056438,90.33537980564381,14.281334047420359,0.8969606958569124,-22.642304784686385,322,2619.050350369045,85.31073446327684,717
5,5,1.5,180,60,100000,False,241899.13235941107,141.89913235941108,20.10741169007271,1.3407920522487464,-16.076307495117824,266,2103.6887305270625,89.47368421052632,583
5,5,1.5,180,60,100000,True,236574.4378191792,136.5744378191792,19.554210295573426,1.2454776001096888,-19.497209551166726,301,2293.08458384299,88.0794701986755,620
5,5,1.5,200,20,100000,False,223651.05792608892,123.6510579260889,18.169312455176833,1.2009514525261336,-17.669526079076558,266,2071.5195991960145,88.32116788321169,557
5,5,1.5,200,20,100000,True,210120.13995424905,110.12013995424907,16.64958634985556,1.0839161307118192,-17.876060005787775,299,2354.811379102878,86.16352201257862,602
5,5,1.5,200,30,100000,False,226446.00971941295,126.44600971941293,18.474101091043682,1.2118882586023312,-16.405441992387125,269,2066.5420175832483,88.40579710144928,683
5,5,1.5,200,30,100000,True,219159.09912730264,119.15909912730265,17.673079974622663,1.1289949682142064,-21.70290320603995,316,2544.8906650414956,83.8323353293413,700
5,5,1.5,200,60,100000,True,224100.31581353187,124.10031581353186,18.218506766570776,1.1754798301872245,-18.467684475948275,297,2279.394382385245,89.87341772151899,693
