Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
SHANTHALA,38.49,1.38,-3.09,Shanthala FMCG Products Ltd.,4.47,0.0,0.44,44.29,10.0,41.19,0.67,1.6,140.6,292.26,57.02,11.39,13.22,25.6,0.04
SABAR,16.98,0.28,-25.31,Sabar Flex India Ltd.,25.59,0.0,2.27,65.65,10.0,40.34,1.91,1.24,9.3,14.3,38.87,10.5,9.88,31.67,0.04
DHTL,32.43,0.39,-8.09,Docmode Health Technologies Ltd.,8.48,0.0,0.62,48.16,10.0,40.07,0.31,3.93,206.54,110.92,47.44,42.01,80.03,164.66,0.04
MEGAFLEX,41.67,12.56,12.56,Mega Flex Plastics Ltd.,0.0,0.0,1.27,25.8,10.0,38.36,1.07,0.86,28.04,19.18,73.32,7.87,5.67,13.38,0.04
ASLIND,33.34,0.27,0.27,ASL Industries Ltd.,0.0,0.0,0.34,37.75,10.0,38.02,1.04,1.09,105.92,7.63,26.24,6.43,4.81,100.0,0.04
JIWANRAM,19.38,0.8,-51.81,Jiwanram Sheoduttrai Industries Ltd.,52.61,0.0,0.71,88.81,10.0,37.0,2.47,0.77,21.11,168.98,70.01,9.24,13.93,24.18,0.04
POLYSIL,22.01,0.89,-14.58,Polysil Irrigation Systems Ltd.,15.47,0.0,1.83,50.88,10.0,36.29,1.13,1.45,17.52,236.39,31.17,13.92,7.81,16.62,0.03
MAKS,23.16,0.95,-11.85,Maks Energy Solutions India Ltd.,12.8,0.0,0.41,47.91,10.0,36.06,0.69,2.25,128.33,109.83,71.19,8.14,2.57,73.59,0.03
KANDARP,18.81,0.24,-2.4,Kandarp Digi Smart BPO Ltd.,2.64,0.0,1.13,38.25,10.0,35.85,0.9,2.12,35.42,15.21,69.91,10.5,8.29,25.84,0.03
CMRSL,46.95,2.6,-6.0,Cyber Media Research & Services Ltd.,8.6,1.72,8.98,39.38,10.0,33.38,0.29,2.43,12.69,73.47,42.42,23.68,21.46,34.81,0.03
CBAZAAR,4.74,1.84,-0.92,Net Avenue Technologies Ltd.,2.76,0.0,0.8,34.17,1.0,33.25,2.15,3.27,0.0,33.59,34.23,102.48,0.0,7.05,0.03
MARINETRAN,10.0,0.79,-1.88,Marinetrans India Ltd.,2.67,0.0,0.45,34.33,10.0,32.45,1.27,2.55,57.03,131.63,67.0,18.49,14.16,112.13,0.03
QUADPRO,3.8,2.13,2.13,Quadpro ITeS Ltd.,0.0,0.0,0.16,29.21,2.0,31.34,5.06,1.63,38.51,17.61,72.11,6.28,4.42,10.68,0.03
AGUL,31.77,0.09,-16.58,A G Universal Ltd.,16.67,0.0,3.5,47.87,10.0,31.29,0.55,1.8,16.3,63.82,70.64,14.1,24.73,15.8,0.03
QFIL,100.67,1.1,-33.6,Quality Foils (India) Ltd.,34.7,0.0,4.68,63.57,10.0,29.97,0.29,1.04,22.43,58.11,53.57,6.81,4.76,17.0,0.03
SPRL,49.96,0.01,-5.41,SP Refractories Ltd.,5.42,0.0,8.71,34.77,10.0,29.36,0.18,3.28,18.84,37.46,69.42,8.95,7.13,13.58,0.03
SHUBHLAXMI,20.44,0.29,-11.24,Shubhlaxmi Jewel Art Ltd.,11.53,0.0,1.15,39.29,10.0,28.05,1.06,1.29,23.03,30.54,60.21,9.77,5.95,25.77,0.03
SAROJA,35.32,0.36,-9.83,Saroja Pharma Industries India Ltd.,10.19,0.0,2.18,37.0,10.0,27.18,0.4,1.91,30.99,6.97,73.02,22.1,23.28,9.78,0.03
VILINBIO,16.37,6.05,-0.78,Vilin Bio Med Ltd.,6.83,0.0,0.12,27.63,10.0,26.85,1.4,1.18,165.38,86.96,64.52,4.47,0.97,28.36,0.03
SUNREST,32.53,0.45,-1.69,Sunrest Lifescience Ltd.,2.14,0.0,0.53,28.04,10.0,26.35,0.43,1.89,116.07,162.91,69.91,58.59,97.59,8.35,0.03
OLIL,32.92,2.68,0.44,Oneclick Logistics India Ltd.,2.24,0.0,1.82,25.87,10.0,26.31,0.36,2.22,40.17,238.5,67.17,10.61,10.85,638.73,0.03
INDIFRA,33.52,1.32,0.94,Indifra Ltd.,0.38,0.0,1.63,27.44,10.0,25.73,0.73,1.05,0.0,148.07,67.56,88.92,82.46,8.27,0.02
SAHAJ,24.31,1.76,-40.68,Sahaj Fashions Ltd.,42.44,0.0,0.72,65.56,10.0,24.89,1.32,0.78,26.36,30.37,64.65,7.86,2.96,16.4,0.02
PLADAINFO,10.0,2.05,-15.65,Plada Infotech Services Ltd.,17.7,0.0,2.94,40.52,10.0,24.86,0.86,2.9,9.86,56.43,62.64,17.42,19.62,9.44,0.02
TRANSWIND,23.7,1.73,1.67,Transwind Infra Ltd.,0.06,0.0,0.82,18.63,10.0,20.3,0.67,1.28,37.11,3.36,59.31,5.29,3.33,22.12,0.02
RICHA,54.93,0.4,-15.81,Richa Info Systems Ltd.,16.21,0.0,2.91,35.74,10.0,19.93,0.24,1.49,28.14,23.87,53.37,10.03,6.32,6.45,0.02
